Recintos,Tipo de artista,Cantidad de artistas (2024)
Club Hipico,Internacional,42
Espacio Caren,Internacional,0
Espacio Riesco,Internacional,22
Estadio Nacional,Internacional,0
Hipodromo Chile,Internacional,22
Movistar Arena,Internacional,27
Parque Bicentenario de Cerrillos,Internacional,36
Parque Ciudad Empresarial,Internacional,10
Parque Estadio Nacional,Internacional,7
Parque Fisa (hoy Hacienda Lo Aguirre),Internacional,36
Parque Padre Hurtado,Internacional,7
Teatro Caupolican,Internacional,5
Club Hipico,Latinoamericano,18
Espacio Caren,Latinoamericano,0
Espacio Riesco,Latinoamericano,0
Estadio Nacional,Latinoamericano,0
Hipodromo Chile,Latinoamericano,16
Movistar Arena,Latinoamericano,19
Parque Bicentenario de Cerrillos,Latinoamericano,25
Parque Ciudad Empresarial,Latinoamericano,3
Parque Estadio Nacional,Latinoamericano,0
Parque Fisa (hoy Hacienda Lo Aguirre),Latinoamericano,7
Parque Padre Hurtado,Latinoamericano,10
Teatro Caupolican,Latinoamericano,0
Club Hipico,Latinoamericano y nacional,1
Espacio Caren,Latinoamericano y nacional,0
Espacio Riesco,Latinoamericano y nacional,0
Estadio Nacional,Latinoamericano y nacional,0
Hipodromo Chile,Latinoamericano y nacional,0
Movistar Arena,Latinoamericano y nacional,0
Parque Bicentenario de Cerrillos,Latinoamericano y nacional,0
Parque Ciudad Empresarial,Latinoamericano y nacional,0
Parque Estadio Nacional,Latinoamericano y nacional,0
Parque Fisa (hoy Hacienda Lo Aguirre),Latinoamericano y nacional,0
Parque Padre Hurtado,Latinoamericano y nacional,0
Teatro Caupolican,Latinoamericano y nacional,0
Club Hipico,Nacional,49
Espacio Caren,Nacional,11
Espacio Riesco,Nacional,21
Estadio Nacional,Nacional,27
Hipodromo Chile,Nacional,51
Movistar Arena,Nacional,39
Parque Bicentenario de Cerrillos,Nacional,48
Parque Ciudad Empresarial,Nacional,4
Parque Estadio Nacional,Nacional,4
Parque Fisa (hoy Hacienda Lo Aguirre),Nacional,66
Parque Padre Hurtado,Nacional,29
Teatro Caupolican,Nacional,1
