Nombres de recintos;PROPOSITO;Capacidad máxima
Centro Cultural CEINA;Cultural;802
Centro Cultural Gabriela Mistral (GAM);Cultural;2500
Centro Cultural Matucana 100;Cultural;2000
Claro Arena;Multipropósito;20000
Club Hípico;Deportivo;50000
Espacio Carén;Multipropósito;5000
Espacio Riesco;Multipropósito;10000
Estadio Bicentenario de La Florida;Deportivo;28000
Estadio Monumental David Arellano;Deportivo;47000
Estadio Nacional Julio Martínez Prádanos;Deportivo;60000
Estadio Santa Laura;Deportivo;22000
Hacienda Lo Aguirre (ex Parque Fisa);Recreacional;S/I
Hipódromo Chile;Deportivo;40000
Movistar Arena;Musical;16522
Parque Bicentenario de Cerrillos;Recreacional;80000
Parque Ciudad Empresarial;Recreacional;S/I
Parque Deportivo Estadio Nacional;Recreacional;60000
Parque Padre Hurtado ;Recreacional;5000
Teatro Caupolicán;Musical;7000
Teatro Coliseo;Cultural;2500
Teatro Mori Bellavista;Cultural;162
Teatro Mori Parque Arauco;Cultural;248
Teatro Mori Recoleta;Cultural;222
Teatro Mori Vitacura ;Cultural;239
Teatro Municipal de Santiago;Cultural;1500
Teatro Nescafé de las Artes;Cultural;983
